timestamp,value,metric_name,horizontalpodautoscaler,instance,job,metric_target_type,namespace
2025-06-25 06:56:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 06:57:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 06:58:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 06:59:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:00:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:01:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:02:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:03:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:04:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:05:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:06:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:07:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:08:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:09:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:10:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:11:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:12:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:13:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:14:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:15:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:16:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:17:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:18:54,0.006,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:19:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:20:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:21:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:22:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-06-25 07:23:54,0.0,s0-prometheus,keda-hpa-consumer-scaler,10.244.1.5:8080,prometheus.scrape.annotated_pods,average,nimbusguard
