timestamp,value,metric_name,instance,job,job_name,namespace,owner_is_controller,owner_kind,owner_name
2025-06-25 07:15:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180594,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:15:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180595,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:16:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180595,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:16:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180596,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:17:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180596,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:17:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180597,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:18:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180597,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:18:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180598,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:19:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180598,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:19:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180599,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:20:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180599,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:20:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180600,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:21:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180600,nimbusguard,true,CronJob,traffic-simulator
2025-06-25 07:21:54,1,kube_job_owner,10.244.1.5:8080,prometheus.scrape.annotated_pods,traffic-simulator-29180601,nimbusguard,true,CronJob,traffic-simulator
