timestamp,value,metric_name,container,instance,job,namespace,pod,reason,uid
2025-06-25 08:29:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-c4nl4,ContainerCreating,899b6ccf-c9a7-404a-9a24-c4c5e8f41724
2025-06-25 17:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-cdcpr,ContainerCreating,aa2dbaf5-7c86-497c-af62-7df334d5ce0a
2025-06-25 14:27:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-ckvdk,CrashLoopBackOff,588f9e3e-4eaa-487e-897e-beee9f9ef2e9
2025-06-25 14:32:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-ckvdk,CrashLoopBackOff,588f9e3e-4eaa-487e-897e-beee9f9ef2e9
2025-06-25 07:45:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-dm4dr,CrashLoopBackOff,b2e6a002-c001-4b1a-9bcb-f5c8863e74d8
2025-06-25 18:56:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-f99qf,CrashLoopBackOff,f286a2ef-5735-4e5a-9e06-f6a52efdc0ca
2025-06-26 04:24:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-fjgsw,CrashLoopBackOff,349e215c-8d1c-4064-b50d-2009ab8ecf7b
2025-06-26 04:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-fjgsw,CrashLoopBackOff,349e215c-8d1c-4064-b50d-2009ab8ecf7b
2025-06-25 12:40:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-fk7rt,CrashLoopBackOff,e2efe47f-f180-4b4c-9f41-9371627ca456
2025-06-25 12:44:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-fk7rt,CrashLoopBackOff,e2efe47f-f180-4b4c-9f41-9371627ca456
2025-06-25 12:53:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-fk7rt,CrashLoopBackOff,e2efe47f-f180-4b4c-9f41-9371627ca456
2025-06-25 12:54:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-fk7rt,CrashLoopBackOff,e2efe47f-f180-4b4c-9f41-9371627ca456
2025-06-26 08:27:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-fql74,CrashLoopBackOff,dd233c29-628d-4f5b-a3e7-014a1f98374b
2025-06-25 17:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-g7p8q,ContainerCreating,78f7040f-0127-4c24-9046-b1077572246c
2025-06-26 07:50:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-gbft5,CrashLoopBackOff,732f76f7-28cf-43cb-a1a3-a642d7ddfe78
2025-06-26 07:52:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-gbft5,CrashLoopBackOff,732f76f7-28cf-43cb-a1a3-a642d7ddfe78
2025-06-26 07:56:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-gbft5,CrashLoopBackOff,732f76f7-28cf-43cb-a1a3-a642d7ddfe78
2025-06-25 14:31:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-gqmtd,CrashLoopBackOff,12d83519-809f-4287-aaaa-641e7634ed68
2025-06-25 08:45:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-hdn9p,CrashLoopBackOff,db2d4933-723e-4d17-bbdb-72abffc59ef6
2025-06-25 08:55:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-hdn9p,CrashLoopBackOff,db2d4933-723e-4d17-bbdb-72abffc59ef6
2025-06-25 11:57:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-jfrvq,CrashLoopBackOff,a596d28b-4d1f-431d-b162-327c1f1199da
2025-06-25 18:18:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-kpgpd,CrashLoopBackOff,a45dab44-fb55-451a-aa6a-1221448213ce
