timestamp,value,metric_name,instance,job,le
2025-06-25 07:51:54,23529236,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 07:52:54,23529236,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 07:53:54,23529236,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:25:54,23665147,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:26:54,24213931,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:27:54,24500452,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:28:54,24989415,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:29:54,25398847,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:30:54,25990794,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:31:54,26602502,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:32:54,27380502,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:33:54,27943786,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:34:54,28729106,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:35:54,29394692,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:36:54,29899834,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:37:54,30462042,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:38:54,30802175,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:39:54,31362293,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:40:54,31764273,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:41:54,32090350,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:42:54,32602302,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:43:54,32988534,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:44:54,33391485,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:45:54,33814039,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:46:54,34435436,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:47:54,35108050,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:48:54,35852834,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:49:54,36624799,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:50:54,37070998,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:51:54,37741317,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:52:54,38139947,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:53:54,38491742,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:54:54,38901959,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:55:54,39331045,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:56:54,39831819,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:57:54,40327952,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:58:54,40575297,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 08:59:54,41029661,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 09:00:54,41526890,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 09:01:54,41997371,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
2025-06-25 09:02:54,42551909,go_gc_heap_frees_by_size_bytes_bucket,localhost:9090,prometheus,+Inf
