timestamp,value,metric_name,certificatesigningrequest,instance,job,signer_name
2025-06-25 18:15:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:16:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:17:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:18:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:19:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:20:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:21:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:22:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:23:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:24:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:25:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:26:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:27:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:28:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:29:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:30:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:31:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:32:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:33:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:34:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:35:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:36:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:37:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:38:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:39:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:40:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:41:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:42:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:43:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:44:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:45:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:46:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:47:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:48:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:49:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:50:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:51:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:52:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:53:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:54:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:55:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:56:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
2025-06-25 18:57:54,1289,kube_certificatesigningrequest_cert_length,cache-server.kubeflow,10.244.1.5:8080,prometheus.scrape.annotated_pods,kubernetes.io/kubelet-serving
