timestamp,value,metric_name,collector,instance,job
2025-07-05 07:18:06,0.000248417,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:19:06,0.000728709,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:20:06,0.191556083,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:21:06,0.194262167,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:22:06,0.091823416,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:23:06,0.000779583,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:24:06,0.000780416,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:25:06,0.000472583,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:26:06,0.000389,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:27:06,0.184321334,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:28:06,0.000140791,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:29:06,0.000393583,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:30:06,0.063991583,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:31:06,0.000179458,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:32:06,0.062070666,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:33:06,0.000357208,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:34:06,0.00039225,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:35:06,0.000265667,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:36:06,0.000833208,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:37:06,0.000190291,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:38:06,0.059690541,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:39:06,0.004208041,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:40:06,0.000157792,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:41:06,0.000177417,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:42:06,0.00015075,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,0.058232125,node_scrape_collector_duration_seconds,arp,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:18:06,0.000498542,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:19:06,0.087789875,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:20:06,0.000437416,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:21:06,0.00565125,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:22:06,0.00281775,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:23:06,0.0003445,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:24:06,0.000554792,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:25:06,0.000514375,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:26:06,0.000222625,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:27:06,0.00027075,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:28:06,0.000196208,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:29:06,0.000287,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:30:06,0.000194083,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:31:06,0.000187167,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:32:06,0.003537333,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:33:06,0.003515292,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:34:06,0.000148417,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:35:06,0.000179375,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:36:06,0.000225291,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:37:06,0.000223708,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:38:06,0.000971417,node_scrape_collector_duration_seconds,arp,172.18.0.3:9100,prometheus.scrape.annotated_pods
