timestamp,value,metric_name,instance,job,lease,lease_holder,namespace,owner_kind,owner_name
2025-07-05 07:18:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:19:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:20:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:21:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:22:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:23:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:24:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:25:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:26:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:27:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:28:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:29:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:30:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:31:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:32:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:33:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:34:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:35:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:36:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
2025-07-05 07:37:06,1,kube_lease_owner,10.244.2.7:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_7c8d0a48-b2e1-470a-868a-ee6750a52bd3,kube-system,,
