timestamp,value,metric_name,instance,job,listener_name
2025-07-05 08:24:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:25:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:26:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:27:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:28:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:29:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:30:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:31:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:32:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:33:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:34:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:35:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:36:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:37:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:38:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:39:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:40:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:41:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:42:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:43:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:44:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:45:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:46:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:47:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:48:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:49:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:50:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:51:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:52:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:53:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:54:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:55:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:56:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:57:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:58:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 08:59:44,32,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:00:44,33,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:01:44,33,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:02:44,33,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:03:44,39,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:04:44,45,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:05:44,46,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:06:44,58,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:07:44,60,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:08:44,72,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:09:44,73,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:10:44,86,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:11:44,88,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:12:44,90,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:13:44,92,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:14:44,94,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:15:44,94,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:16:44,100,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:17:44,100,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:18:44,100,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:19:44,100,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:20:44,103,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:21:44,112,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:22:44,112,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:23:44,112,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:24:44,119,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:25:44,119,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:26:44,119,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:27:44,123,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:28:44,123,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:29:44,123,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:30:44,123,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:31:44,124,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:32:44,126,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:33:44,131,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:34:44,133,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:35:44,133,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:36:44,134,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:37:44,135,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:38:44,138,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:39:44,138,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:40:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:41:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:42:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:43:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:44:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:45:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:46:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:47:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:48:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:49:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:50:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:51:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:52:44,143,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:53:44,147,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:54:44,154,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:55:44,154,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:56:44,178,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:57:44,190,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:58:44,205,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 09:59:44,220,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 10:00:44,224,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 10:01:44,224,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 10:02:44,236,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 10:03:44,236,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
2025-07-05 10:04:44,236,net_conntrack_listener_conn_closed_total,localhost:9090,prometheus,http
