timestamp,value,metric_name,certificatesigningrequest,instance,job,signer_name
2025-07-05 07:18:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:19:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:20:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:21:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:22:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:23:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:24:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:25:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:26:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:27:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:28:44,891,kube_certificatesigningrequest_cert_length,csr-2gks8,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
