timestamp,value,metric_name,generation,instance,job
2025-07-05 08:20:44,424,python_gc_objects_collected_total,0,10.244.1.100:8000,prometheus.scrape.annotated_pods
2025-07-05 08:22:44,403,python_gc_objects_collected_total,0,10.244.1.100:8000,prometheus.scrape.annotated_pods
2025-07-05 08:20:44,403,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:21:44,403,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:22:44,403,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:23:44,754,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:24:44,754,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:25:44,1077,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:26:44,1077,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:27:44,1077,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:28:44,1515,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:29:44,381,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 10:21:44,389,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 10:22:44,439,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 10:23:44,389,python_gc_objects_collected_total,0,10.244.1.101:8000,prometheus.scrape.annotated_pods
2025-07-05 08:21:44,432,python_gc_objects_collected_total,0,10.244.1.102:8000,prometheus.scrape.annotated_pods
2025-07-05 08:22:44,566,python_gc_objects_collected_total,0,10.244.1.102:8000,prometheus.scrape.annotated_pods
2025-07-05 08:23:44,385,python_gc_objects_collected_total,0,10.244.1.102:8000,prometheus.scrape.annotated_pods
2025-07-05 08:24:44,526,python_gc_objects_collected_total,0,10.244.1.102:8000,prometheus.scrape.annotated_pods
2025-07-05 10:22:44,417,python_gc_objects_collected_total,0,10.244.1.102:8000,prometheus.scrape.annotated_pods
2025-07-05 10:23:44,580,python_gc_objects_collected_total,0,10.244.1.102:8000,prometheus.scrape.annotated_pods
2025-07-05 10:24:44,692,python_gc_objects_collected_total,0,10.244.1.102:8000,prometheus.scrape.annotated_pods
2025-07-05 08:21:44,396,python_gc_objects_collected_total,0,10.244.1.103:8000,prometheus.scrape.annotated_pods
2025-07-05 08:22:44,619,python_gc_objects_collected_total,0,10.244.1.103:8000,prometheus.scrape.annotated_pods
2025-07-05 08:21:44,403,python_gc_objects_collected_total,0,10.244.1.104:8000,prometheus.scrape.annotated_pods
2025-07-05 08:23:44,381,python_gc_objects_collected_total,0,10.244.1.105:8000,prometheus.scrape.annotated_pods
2025-07-05 08:24:44,522,python_gc_objects_collected_total,0,10.244.1.105:8000,prometheus.scrape.annotated_pods
2025-07-05 08:25:44,552,python_gc_objects_collected_total,0,10.244.1.105:8000,prometheus.scrape.annotated_pods
