timestamp,value,metric_name,instance,job,job_name,namespace
2025-07-05 07:26:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195006,nimbusguard
2025-07-05 07:27:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195006,nimbusguard
2025-07-05 07:28:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195006,nimbusguard
2025-07-05 07:27:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195007,nimbusguard
2025-07-05 07:28:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195007,nimbusguard
2025-07-05 07:29:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195007,nimbusguard
2025-07-05 07:28:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195008,nimbusguard
2025-07-05 07:29:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195008,nimbusguard
2025-07-05 07:30:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195008,nimbusguard
2025-07-05 07:29:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195009,nimbusguard
2025-07-05 07:30:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195009,nimbusguard
2025-07-05 07:31:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195009,nimbusguard
2025-07-05 07:30:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195010,nimbusguard
2025-07-05 07:31:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195010,nimbusguard
2025-07-05 07:32:06,120,kube_job_spec_active_deadline_seconds,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,load-generator-prod-29195010,nimbusguard
