timestamp,value,metric_name,instance,job,type
2025-07-05 08:19:44,2194954,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:20:44,2228915,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:21:44,2264015,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:22:44,2299607,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:23:44,2335853,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:24:44,2371193,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:25:44,2406335,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:26:44,2441789,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:27:44,2476579,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:28:44,2510382,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:29:44,2544775,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:30:44,2579032,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:31:44,2611497,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:32:44,2644495,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:33:44,2679090,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:34:44,2715823,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:35:44,2753047,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:36:44,2787807,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:37:44,2826528,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:38:44,2867238,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:39:44,2905101,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:40:44,2942838,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:41:44,2979884,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:42:44,3020297,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:43:44,3057878,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:44:44,3094700,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:45:44,3130041,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:46:44,3169036,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:47:44,3207227,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:48:44,3247148,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:49:44,3289553,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:50:44,3328188,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:51:44,3362123,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:52:44,3397575,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:53:44,3432860,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:54:44,3469118,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:55:44,3504849,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:56:44,3540489,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:57:44,3575644,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:58:44,3610031,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 08:59:44,3647026,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 09:00:44,3688159,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 09:01:44,3725658,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 09:02:44,3763790,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
2025-07-05 09:03:44,3801287,prometheus_tsdb_head_samples_appended_total,localhost:9090,prometheus,float
