timestamp,value,metric_name,horizontalpodautoscaler,instance,job,metric_target_type,namespace
2025-07-05 07:18:06,0.004,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:19:06,0.005,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:20:06,0.005,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:21:06,0.005,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:22:06,0.005,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:23:06,0.006,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:24:06,0.006,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:25:06,0.005,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:26:06,0.004,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:27:06,0.279,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:28:06,0.501,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:29:06,0.501,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:30:06,0.5,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-05 07:31:06,0.5,cpu,consumer-hpa-baseline,10.244.2.7:8080,prometheus.scrape.annotated_pods,average,nimbusguard
