timestamp,value,metric_name,container_runtime_version,instance,internal_ip,job,kernel_version,kubelet_version,kubeproxy_version,node,os_image,pod_cidr,provider_id,system_uuid
2025-07-05 07:18:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
2025-07-05 07:19:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
2025-07-05 07:20:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
2025-07-05 07:21:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
2025-07-05 07:22:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
2025-07-05 07:23:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
2025-07-05 07:25:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
2025-07-05 07:26:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
2025-07-05 07:27:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
2025-07-05 07:28:06,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,2f935ab7befe4eb4950601bbe7de8b6b
