timestamp,value,metric_name,instance,job,namespace,pod,reason,uid
2025-07-12 05:29:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:30:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:31:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:32:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:33:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:34:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:35:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:36:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:37:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:38:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
2025-07-12 05:39:28,0,kube_pod_status_reason,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-9wdx5,Evicted,15bdfa5d-63a5-4447-bcc7-89cfe6d6a8af
