timestamp,value,metric_name,horizontalpodautoscaler,instance,job,metric_target_type,namespace
2025-07-12 06:10:28,0.012,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:11:28,0.01,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:12:28,0.01,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:13:28,0.011,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:30:28,5.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:31:28,6.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:32:28,250.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:33:28,218.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:34:28,86.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:35:28,86.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:36:28,61.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:37:28,69.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:38:28,69.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:39:28,69.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:40:28,69.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:41:28,69.0,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
