timestamp,value,metric_name,component_id,component_path,event,instance,job,role
2025-07-12 05:30:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:31:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:32:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:33:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:34:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:35:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:36:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:37:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:38:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:39:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:40:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:41:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:42:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
2025-07-12 05:43:28,0,prometheus_sd_kubernetes_events_total,discovery.kubernetes.pods,/,add,alloy:8080,alloy-metrics,endpoints
