timestamp,value,metric_name,host_path,host_path_type,instance,job,persistentvolume,storageclass
2025-07-12 05:29:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:30:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:31:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:32:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:33:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:34:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:35:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:36:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:37:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:38:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:39:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
2025-07-12 05:40:28,1,kube_persistentvolume_info,/var/local-path-provisioner/pvc-f729b784-9f0b-4229-bc59-a166dab8f60c_nimbusguard_minio-pvc,DirectoryOrCreate,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c,standard
