timestamp,value,metric_name,instance,job,namespace,owner_is_controller,owner_kind,owner_name,replicaset
2025-07-12 05:57:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 05:58:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 05:59:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:00:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:01:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:02:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:03:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:04:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:05:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:06:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:07:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
2025-07-12 06:08:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,kube-system,true,Deployment,metrics-server,metrics-server-fccfd5769
