timestamp,value,metric_name,instance,job,persistentvolume
2025-07-12 05:29:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:30:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:31:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:32:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:33:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:34:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:35:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:36:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:37:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:38:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:39:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:40:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:41:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:42:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:43:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:44:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:45:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:46:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:47:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:48:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:49:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:50:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:51:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:52:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:53:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:54:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:55:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
2025-07-12 05:56:28,5368709120,kube_persistentvolume_capacity_bytes,10.244.1.4:8080,prometheus.scrape.annotated_pods,pvc-f729b784-9f0b-4229-bc59-a166dab8f60c
