timestamp,value,metric_name,address,instance,job,node,type
2025-07-12 05:29:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:30:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:31:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:32:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:33:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:34:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:35:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:36:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:37:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:38:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:39:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:40:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:41:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:42:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:43:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
2025-07-12 05:44:28,1,kube_node_status_addresses,172.18.0.2,10.244.1.4:8080,prometheus.scrape.annotated_pods,desktop-worker2,InternalIP
