timestamp,value,metric_name,container_runtime_version,instance,internal_ip,job,kernel_version,kubelet_version,kubeproxy_version,node,os_image,pod_cidr,provider_id,system_uuid
2025-07-07 10:10:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
2025-07-07 10:11:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
2025-07-07 10:12:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
2025-07-07 10:13:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
2025-07-07 10:14:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
2025-07-07 10:15:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
2025-07-07 10:16:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
2025-07-07 10:17:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
2025-07-07 10:18:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
2025-07-07 10:19:11,1,kube_node_info,containerd://2.1.1,10.244.2.7:8080,172.18.0.2,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-control-plane,Debian GNU/Linux 12 (bookworm),10.244.0.0/24,kind://docker/desktop/desktop-control-plane,ad845277f00d4d679ccffd8ff6704323
