timestamp,value,metric_name,instance,job,namespace,pod,uid
2025-07-06 01:02:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:03:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:04:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:05:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:06:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:18:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:19:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:20:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:21:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
2025-07-06 01:22:05,1751762774,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29196046-z7ls6,c2880c65-ded4-4139-8db5-35a464276b83
