timestamp,value,metric_name,domainname,instance,job,machine,nodename,release,sysname,version
2025-07-07 10:10:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:11:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:12:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:13:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:14:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:15:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:16:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:17:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:18:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:19:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:20:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:21:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:22:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:23:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:24:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
2025-07-07 10:25:11,1,node_uname_info,(none),172.18.0.2:9100,prometheus.scrape.annotated_pods,aarch64,desktop-control-plane,6.10.14-linuxkit,Linux,#1 SMP Sat May 17 08:28:57 UTC 2025
