timestamp,value,metric_name,instance,job,namespace,persistentvolumeclaim,pod,uid,volume
2025-07-13 17:25:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
2025-07-13 17:26:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
2025-07-13 17:27:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
2025-07-13 17:28:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
2025-07-13 17:29:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
2025-07-13 17:30:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
2025-07-13 17:31:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
2025-07-13 17:32:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
2025-07-13 17:33:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
2025-07-13 17:34:48,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-rsjgf,5db51e60-b242-48e8-af70-37cfdaa54012,storage
