timestamp,value,metric_name,component_id,component_path,instance,job,le,remote_name,url
2025-07-13 17:52:48,18614,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:53:48,18907,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:54:48,19193,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:55:48,19485,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:56:48,19775,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:57:48,20067,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:58:48,20361,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 17:59:48,20656,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:00:48,20951,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:01:48,21243,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
2025-07-13 18:02:48,21539,prometheus_remote_storage_sent_batch_duration_seconds_bucket,prometheus.remote_write.default,/,alloy:8080,alloy-metrics,+Inf,68143b,http://prometheus:9090/api/v1/write
