timestamp,value,metric_name,instance,job
2025-07-13 17:26:48,4,dqn_action_keep_same_total,10.244.1.20:8080,prometheus.scrape.annotated_pods
2025-07-13 17:27:48,10,dqn_action_keep_same_total,10.244.1.20:8080,prometheus.scrape.annotated_pods
2025-07-13 17:31:48,15,dqn_action_keep_same_total,10.244.1.23:8080,prometheus.scrape.annotated_pods
2025-07-13 17:28:48,6,dqn_action_keep_same_total,10.244.2.25:8080,prometheus.scrape.annotated_pods
2025-07-13 17:29:48,19,dqn_action_keep_same_total,10.244.2.25:8080,prometheus.scrape.annotated_pods
2025-07-13 17:32:48,9,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:33:48,18,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:34:48,27,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:35:48,36,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:36:48,48,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:37:48,60,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:38:48,72,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:39:48,84,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:40:48,93,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:41:48,96,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:42:48,102,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:43:48,117,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:44:48,129,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:45:48,135,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:46:48,141,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:47:48,150,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:48:48,159,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:49:48,162,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:50:48,171,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:51:48,189,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:52:48,198,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:53:48,204,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:54:48,213,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:55:48,225,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:56:48,234,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:57:48,246,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:58:48,249,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 17:59:48,267,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:00:48,282,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:01:48,291,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:02:48,300,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:03:48,318,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:04:48,327,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:05:48,336,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:06:48,345,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:07:48,354,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:08:48,366,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:09:48,384,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:10:48,393,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:11:48,396,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:12:48,411,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:13:48,423,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:14:48,438,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
2025-07-13 18:15:48,447,dqn_action_keep_same_total,10.244.2.29:8080,prometheus.scrape.annotated_pods
