timestamp,value,metric_name,container,instance,job,namespace,node,pod,resource,uid,unit
2025-07-13 17:29:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-ffgvt,memory,33496505-159d-426a-b448-3e5292c2803d,byte
2025-07-13 17:32:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:33:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:34:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:35:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:36:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:37:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:38:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:39:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:40:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:41:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:42:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:43:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:44:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:45:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:46:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:47:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:48:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
