timestamp,value,metric_name,instance,job,lease,lease_holder,namespace,owner_kind,owner_name
2025-07-13 17:41:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:42:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:43:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:44:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:45:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:46:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:47:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:48:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:49:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 17:50:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
