timestamp,value,metric_name,container_runtime_version,instance,internal_ip,job,kernel_version,kubelet_version,kubeproxy_version,node,os_image,pod_cidr,provider_id,system_uuid
2025-07-13 17:25:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
2025-07-13 17:26:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
2025-07-13 17:27:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
2025-07-13 17:28:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
2025-07-13 17:29:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
2025-07-13 17:30:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
2025-07-13 17:31:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
2025-07-13 17:32:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
2025-07-13 17:33:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
2025-07-13 17:34:48,1,kube_node_info,containerd://2.1.1,10.244.2.8:8080,172.18.0.3,prometheus.scrape.annotated_pods,6.10.14-linuxkit,v1.33.1,deprecated,desktop-worker,Debian GNU/Linux 12 (bookworm),10.244.1.0/24,kind://docker/desktop/desktop-worker,35623bcbdffa4af9aad80441445c451b
